pop,asn,type
saopaulo,265491,route_server_peer
saopaulo,268907,route_server_peer
saopaulo,28195,route_server_peer
saopaulo,52758,route_server_peer
saopaulo,270656,route_server_peer
saopaulo,266926,route_server_peer
saopaulo,52951,route_server_peer
saopaulo,61895,route_server_peer
saopaulo,53142,route_server_peer
saopaulo,266037,route_server_peer
saopaulo,262302,route_server_peer
saopaulo,264103,route_server_peer
saopaulo,263110,route_server_peer
saopaulo,28140,route_server_peer
saopaulo,8757,route_server_peer
saopaulo,10362,route_server_peer
saopaulo,268972,route_server_peer
saopaulo,268207,route_server_peer
saopaulo,267244,route_server_peer
saopaulo,262448,route_server_peer
saopaulo,264124,route_server_peer
saopaulo,263586,route_server_peer
saopaulo,267016,route_server_peer
saopaulo,264212,route_server_peer
saopaulo,264963,route_server_peer
saopaulo,266185,route_server_peer
saopaulo,263065,route_server_peer
saopaulo,267503,route_server_peer
saopaulo,268525,route_server_peer
saopaulo,267562,route_server_peer
saopaulo,264442,route_server_peer
saopaulo,136907,route_server_peer
saopaulo,269267,route_server_peer
saopaulo,271402,route_server_peer
saopaulo,264339,route_server_peer
saopaulo,269674,route_server_peer
saopaulo,263362,route_server_peer
saopaulo,28590,route_server_peer
saopaulo,262286,route_server_peer
saopaulo,268400,route_server_peer
saopaulo,269572,route_server_peer
saopaulo,264428,route_server_peer
saopaulo,266444,route_server_peer
saopaulo,263663,route_server_peer
saopaulo,268231,route_server_peer
saopaulo,262893,route_server_peer
saopaulo,52925,provider
saopaulo,52866,route_server_peer
saopaulo,266177,route_server_peer
saopaulo,268842,route_server_peer
saopaulo,264270,route_server_peer
saopaulo,61810,route_server_peer
saopaulo,61582,route_server_peer
saopaulo,269154,route_server_peer
saopaulo,52887,route_server_peer
saopaulo,270482,route_server_peer
saopaulo,264939,route_server_peer
saopaulo,265144,route_server_peer
saopaulo,266931,route_server_peer
saopaulo,262900,route_server_peer
saopaulo,52762,route_server_peer
saopaulo,265188,route_server_peer
saopaulo,52977,route_server_peer
saopaulo,262365,route_server_peer
saopaulo,35280,route_server_peer
saopaulo,264491,route_server_peer
saopaulo,49544,route_server_peer
